[2023-02-06 10:07:31,039] {/home/amin/Desktop/HW12/logic.py:213} 12606-INFO-new trip was created
[2023-02-06 10:07:31,039] {/home/amin/Desktop/HW12/logic.py:189} 12606-INFO-user Welcome test, your unique id is dfc5de6e-2bfc-4fa8-a176-e9401a84c585 
your card status <<your balance is 30000 and will expire by 2023-03-08 10:07:31.039664>> bought your balance is 30000 and will expire by 2023-03-08 10:07:31.039664
[2023-02-06 10:07:31,039] {/home/amin/Desktop/HW12/logic.py:213} 12606-INFO-new trip was created
[2023-02-06 10:07:31,040] {/home/amin/Desktop/HW12/logic.py:40} 12606-ERROR-could not authenticate
[2023-02-06 10:07:31,040] {/home/amin/Desktop/HW12/logic.py:29} 12606-INFO-user was created
[2023-02-06 10:07:31,040] {/home/amin/Desktop/HW12/logic.py:32} 12606-ERROR-could not create user
[2023-02-06 10:07:31,041] {/home/amin/Desktop/HW12/logic.py:32} 12606-ERROR-could not create user
[2023-02-06 10:07:31,041] {/home/amin/Desktop/HW12/logic.py:32} 12606-ERROR-could not create user
[2023-02-06 10:14:20,358] {/home/amin/Desktop/HW12/logic.py:189} 12943-INFO-user Welcome test, your unique id is 1867dc6d-ce63-433f-9bea-89751c2e7aa8 
